name	output
Brazil	[4.097458229134185,-1.00499675013163,2.069554625261225]
Viet_Nam	[3.428060808395489,-0.852047895691764,0.2091190324784582]
USA	[-3.8845963169614883,-2.8921116904227606,0.6394256870596645]
Brazil	[4.0911960125997116,-1.0019377857283949,2.0629085378334593]
USA	[-4.186748870438856,-2.616003303848316,0.6676295748724431]
New_Zealand	[4.039061929849317,-0.9882012740053748,1.9680334572153875]
USA	[1.9216228254090886,0.06761324449269408,-2.2880865751928354]
USA	[-3.8313769410876515,-2.796123113585787,0.6385591661917351]
Japan	[-4.226148711500763,-2.6861404976010785,0.6692319803171456]
USA	[3.410543018266682,-0.8455399612934017,0.21834379617482197]
USA	[-2.8328576730819957,3.1960145952888612,1.4143250968710712]
USA	[-4.280161354964072,-2.7703335957474775,0.6853375706646396]
USA	[4.031060345430944,-0.9862382397176052,1.956775148458235]
Mexico	[3.4321298680407217,-0.8545916456905327,0.2148696803251519]
USA	[4.043812109009594,-0.9921231302270691,1.9748220131294214]
USA	[-3.7552310496112864,-2.6787999207895195,0.6285158108510905]
USA	[1.9478234238907173,0.09592241323452329,-2.504066943403572]
Japan	[-3.889178051309694,-2.8984264265691793,0.638139876455799]
USA	[4.058431784154018,-1.1426423241295252,1.8552801286900473]
USA	[-4.208722948467244,-3.123798646117638,0.7652414804082828]
Mexico	[4.03744279042854,-0.8359704056489556,2.107454414345253]
Brazil	[4.095407131114335,-1.0034300905953957,2.06694575846287]
Brazil	[4.099425419562968,-0.9999320297444004,2.0707315172521645]
USA	[-3.789179701919616,-2.739339887122163,0.6309459696382455]
USA	[3.968315710802721,-1.288801526502316,1.868374949142291]
Brazil	[4.040079653457304,-1.1352384089221668,1.8250580545978337]
USA	[4.0636070850344215,-1.135410877198735,1.8757396221130804]
USA	[4.0668640256273765,-1.146354007277337,1.8664709541611821]
USA	[4.066544237897833,-1.1476236053157975,1.8683526541825248]
USA	[4.064194971343243,-1.1461086573514816,1.8684864056356312]
USA	[-3.842525321990022,-2.8134027254344915,0.6382569272905299]
USA	[-3.8460613481219106,-2.8210752221509834,0.6399258276860487]
USA	[-4.282029802851901,-2.770254529693984,0.682196377696678]
USA	[4.061367491486896,-1.1453386560875105,1.8615324670830862]
USA	[-4.208273418800223,-3.120594013159287,0.7661867057932419]
USA	[-4.278541200157124,-2.760961263332453,0.6753931959231663]
Japan	[1.1009761843872843,0.20914449613848568,-2.062030971703617]
France	[-4.28003699818254,-2.762924228278682,0.677597649469076]
USA	[-3.8458588339951265,-2.8218349261108706,0.6352000597125158]
Mexico	[3.444269750722842,-0.8593886357468368,0.20528809967977718]
USA	[4.061568720376581,-1.1437157329128567,1.8575914924840133]
USA	[-4.29108185290749,-3.0081732939487966,0.8546783406340976]
USA	[-3.9027890840276074,-2.8948065789247606,0.44611314110374745]
Brazil	[4.0923395033020755,-1.0027393072532143,2.0645719179741064]
USA	[1.8971716139799568,0.01729529980916955,-2.507229249510967]
USA	[-2.8115423350243867,3.1529796369333583,1.3863370156701773]
USA	[-2.807694104245338,3.14168511026075,1.3827352239423722]
USA	[-4.31785526446655,-3.034474676010497,0.6768017615820021]
USA	[-2.8737036883385287,3.3634721865607884,1.4943960695028022]
USA	[-4.321155502195051,-3.0580479496590143,0.8645654689940367]
USA	[4.061967170981944,-1.1444727552109257,1.8613248399770401]
USA	[-3.89398645414379,-2.7293778806088183,0.6872313528324047]
Japan	[1.0996996980299685,0.20704252716037436,-2.053468962110226]
USA	[-4.3202915226670955,-3.0534522965844633,0.8635294753502656]
Brazil	[1.0369886050296802,0.38336568044541297,-3.4038652201741644]
Brazil	[4.094889148699399,-1.000700837238979,2.071890995587285]
USA	[4.064765739499714,-1.1510702192878663,1.8693783180111279]
USA	[1.9210759442435033,0.06719792110192159,-2.2839230579303527]
Switzerland	[1.9258220121558125,0.06564173559247448,-2.256997905516454]
Viet_Nam	[3.4260509891253492,-0.8532154668027745,0.21199667179877218]
USA	[-4.319887582472174,-3.0548647737998014,0.8629511438506103]
USA	[-3.8846778964427067,-2.887147643981619,0.6394278070825389]
USA	[-4.207027973600273,-3.098177429813423,1.0142825594206013]
USA	[-4.313425792516777,-3.0586237395534335,0.8710753641401761]
